user_id,top_isbns
85164,"446310786,1879384493,449005615,399135782,671621009,345372700,316769487,553347594,8445071777,440234743"
85419,"8445071408,812575482,1569871213,399135782,8401422825,786868716,345417623,451166892,8445071777,140067477"
85426,"966986105,786868716,8445071408,451208080,452264464,3404921038,553278398,316769487,380778556,679865691"
85433,"8445071408,60929790,553347594,316769487,60168013,446310786,452264464,847223973X,425099148,2740230"
85455,"1879384493,786868716,449005615,2005018,553347594,140067477,3404921038,074322678X,671867156,1900850303"
85460,"1881320189,786868716,345372700,446310786,60168013,345417623,609804618,8445071408,399135782,345465083"
85488,"8445071408,449005615,446310786,1881320189,3404921038,316769487,1879384493,553347594,316735736,679429220"
85502,"446310786,553582747,8445071777,840734530,345372700,679810307,964778319,074322678X,786868716,1879384493"
85526,"446310786,553347594,8445071408,3404921038,840734530,1879384493,60168013,345372700,316769487,425176428"
85534,"345372700,8476409419,8445071408,316769487,847223973X,2070423204,3404921038,689821166,1879384493,140067477"
85619,"316769487,1558531025,380778556,679865691,439095026,553347594,553582747,60168013,446310786,964778319"
85652,"8445071408,399135782,1900850303,446310786,374157065,345417623,1881320189,074322678X,3404921038,385336772"
85653,"8445071408,1879384493,446310786,786868716,449005615,609804618,1569871213,425099148,399135782,345417623"
85656,"446310786,553347594,451410319,345372700,2005018,8445071408,316769487,375500766,374157065,60914068"
85667,"553347594,345417623,8476409419,8445071408,679865691,140067477,440225701,689821166,446310786,1558531025"
85701,"8445071408,446310786,449005615,679810307,345402871,451410319,374157065,60168013,553582747,1881320189"
85757,"8445071408,2005018,679865691,446310786,425163091,553347594,399135782,8476409419,385336772,1569871213"
85769,"140067477,8445071408,812575482,2005018,374157065,1881320189,60168013,3404921038,8445071777,60914068"
85944,"446310786,60929790,553582747,553347594,847223973X,316769487,441783589,679429220,609804618,671621009"
85955,"553582747,074322678X,553347594,8476409419,553583468,3404921038,446608653,440234743,451166892,2740230"
85993,"8445071408,847223973X,3404921038,425099148,1558531025,60976845,553347594,1879384493,446310786,842342702"
85999,"446310786,3404921038,689821166,840734530,385336772,425099148,399135782,451208080,2740230,440234743"
86033,"2740230,074322678X,140067477,8445071408,345372700,1881320189,446310786,399135782,1879384493,1900850303"
86107,"8476409419,451406923,425099148,60929790,451208080,140067477,8445071777,3404921038,786868716,60914068"
86123,"8445071408,966986105,1900850303,1879384493,446310786,553278398,449005615,1558531025,689821166,1841721522"
86134,"8445071408,316769487,380715899,964778319,399135782,385336772,2070423204,609804618,440949424,446310786"
86145,"553582747,446310786,1569871213,553347594,2740230,316769487,60929790,3404921038,140067477,8476409419"
86147,"451166892,786868716,345372700,1569871213,140067477,553582747,553347594,679865691,966986105,385336772"
86189,"399135782,1881320189,609804618,074322678X,8401422825,385336772,312252617,8445071408,964778319,679429220"
86202,"553347594,3404921038,446310786,609804618,316769487,60929790,399135782,380715899,312252617,60976845"
86219,"8445071408,380778556,786868716,966986105,074322678X,2740230,140067477,1881320189,679865691,345417623"
86242,"8401422825,8476409419,439095026,2005018,446310786,385336772,380778556,074322678X,60168013,689821166"
86243,"449005615,1569871213,446310786,074322678X,399135782,140067477,609804618,553582747,553347594,8445071408"
86290,"8445071408,1881320189,345372700,399135782,374157065,964778319,966986105,440225701,1558531025,1900850303"
86303,"8445071408,1881320189,1879384493,446310786,679429220,1900850303,385336772,380778556,812575482,786868716"
86336,"8445071408,8401422825,1881320189,3404921038,399135782,8476409419,847223973X,449005615,786868716,60168013"
86462,"140067477,8476409419,553347594,375509038,2005018,399135782,446310786,609804618,1881320189,671867156"
86548,"375509038,140067477,1900850303,1569871213,847223973X,385336772,316735736,451166892,679429220,074322678X"
86641,"1569871213,553347594,380778556,786868716,60929790,8445071777,3404921038,8445071408,966986105,074322678X"
86680,"8445071408,399135782,553347594,679865691,375509038,074322678X,8476409419,60976845,451166892,452264464"
86792,"140067477,316769487,385336772,312252617,8445071408,8476409419,425163091,60929790,374157065,609804618"
86809,"140067477,316769487,60168013,374157065,8445071408,399135782,451406923,316735736,553582747,8476409419"
86835,"345372700,1881320189,553584383,446310786,553582747,425099148,609804618,840734530,966986105,345417623"
86969,"8445071408,074322678X,345372700,840734530,8401422825,847223973X,786868716,446310786,1881320189,1558531025"
87002,"786868716,399135782,553347594,8445071408,1558531025,847223973X,345372700,60168013,446310786,375509038"
87024,"8445071408,689821166,8445071777,1569871213,316769487,140067477,446310786,440234743,374157065,345417623"
87051,"966986105,60914068,446310786,1558531025,316769487,345372700,553584383,8476409419,385336772,440225701"
87058,"374157065,140067477,60168013,2740230,399135782,446310786,1879384493,316769487,840734530,345372700"
87141,"8445071408,446310786,074322678X,399135782,553583468,8476409419,553347594,452264464,1879384493,449005615"
87143,"1881320189,609804618,399135782,8445071408,679429220,446310786,786868716,840734530,60914068,684823802"
87216,"786868716,074322678X,140067477,3404921038,679865691,1558531025,399135782,679429220,8401422825,385336772"
87257,"609804618,8445071408,8445071777,446310786,671867156,441783589,60168013,1879384493,374157065,074322678X"
87301,"074322678X,1879384493,439095026,1881320189,345417623,553347594,380778556,449005615,847223973X,8445071777"
87473,"553347594,847223973X,1900850303,316769487,074322678X,425099148,689821166,8476409419,3404921038,380778556"
87555,"1881320189,8445071408,399135782,786868716,8476409419,3404921038,679429220,1569871213,609804618,966986105"
87579,"074322678X,316769487,449005615,8445071408,312252617,8476409419,345372700,1879384493,840734530,60973129"
87595,"553584383,449005615,316769487,60976845,8445071408,446310786,1569871213,374157065,375406328,786868716"
87610,"8476409419,140067477,425099148,080652121X,1558531025,345372700,446310786,553583468,374157065,8401422825"
87632,"8445071408,449005615,140067477,553347594,1881320189,440234743,446310786,385336772,399135782,345372700"
87649,"609804618,60976845,1900850303,399135782,312252617,1879384493,8401422825,345417623,671867156,840734530"
87707,"786868716,8445071408,446310786,1881320189,451410319,553347594,689821166,312252617,8445071777,399135782"
87712,"553582747,446310786,671621009,8476409419,074322678X,842342702,60929790,1879384493,316735736,812575482"
87729,"8445071408,8445071777,067176537X,374157065,2740230,449005615,553347594,61099325,609804618,345372700"
87746,"8445071408,553347594,1900850303,446310786,385336772,679865691,345465083,345417623,451406923,312252617"
87794,"8445071408,60976845,840734530,316769487,374157065,553347594,1558531025,3404921038,449005615,553582747"
87906,"446310786,553347594,2740230,399135782,451208080,380778556,8445071408,385336772,1569871213,425163091"
87911,"316769487,385336772,60976845,1575663937,8445071408,399135782,61099325,847223973X,074322678X,1841721522"
87929,"8476409419,1881320189,1879384493,60168013,140067477,345372700,8445071777,8445071408,609804618,399135782"
87949,"609804618,140067477,786868716,399135782,446310786,312252617,679865691,451406923,2740230,847223973X"
87960,"8445071408,446310786,679429220,425099148,553347594,609804618,345417623,553582747,1558531025,399135782"
87974,"074322678X,8445071408,8401422825,553584383,345372700,3404921038,679865691,2005018,847223973X,8476409419"
88006,"8445071408,786868716,446310786,451208080,140067477,074322678X,1569871213,1881320189,399135782,345417623"
88074,"609804618,8445071408,786868716,553584383,140067477,553347594,446310786,1881320189,8476409419,385336772"
88103,"446310786,8445071777,8445071408,1879384493,449005615,345372700,074322678X,609804618,553582747,380715899"
88118,"8445071777,60929790,8445071408,1881320189,1569871213,316769487,3404921038,1879384493,8401422825,964778319"
88122,"8445071408,449005615,374157065,786868716,8401422825,812575482,553347594,312252617,140067477,8476409419"
88123,"1881320189,786868716,679865691,446310786,399135782,8476409419,553347594,1879384493,316973742,140067477"
88142,"385336772,399135782,8476409419,446310786,609804618,60168013,60929790,786868716,847223973X,8445071408"
88170,"609804618,399135782,60929790,316769487,553584383,8445071408,446608653,140067477,446310786,1900850303"
88187,"8445071408,964778319,446310786,312252617,345372700,679865691,385336772,316735736,966986105,452264464"
88203,"074322678X,316769487,399135782,316735736,553347594,1558531025,8445071408,8401422825,679429220,60914068"
88212,"399135782,8401422825,446310786,345372700,847223973X,8445071777,2740230,966986105,374157065,316769487"
88229,"8445071408,316769487,1879384493,425099148,3404921038,380778556,451208080,446310786,8401422825,786868716"
88278,"609804618,1881320189,8445071408,374157065,1879384493,441783589,847223973X,1569871213,399135782,067176537X"
88283,"786868716,345372700,316769487,1558531025,8445071408,553347594,312252617,452264464,451410319,60938412"
88316,"8445071408,1569871213,449005615,966986105,074322678X,964778319,679865691,345417623,316769487,345372700"
88412,"8445071408,786868716,609804618,140067477,393045218,1881320189,1558531025,8445071777,684823802,375500766"
88565,"8445071408,840734530,399135782,671621009,679810307,1558531025,440225701,60914068,684823802,671867156"
88652,"446310786,2740230,140067477,3404921038,1900850303,786868716,8445071408,399135782,8445071777,1879384493"
88693,"316769487,8445071408,074322678X,553347594,8401422825,671621009,446310786,8445071777,60168013,140067477"
88729,"8445071408,3404921038,452264464,1879384493,451406923,847223973X,380778556,1569871213,312252617,553347594"
88733,"8445071408,1879384493,1881320189,399135782,074322678X,1558531025,385336772,316748641,966986105,60973129"
88738,"8445071408,074322678X,609804618,966986105,689821166,8401422825,316748641,2740230,1879384493,425099148"
88767,"8445071408,679429220,399135782,1879384493,345417623,786868716,8476409419,1900850303,446310786,3404921038"
88793,"345417623,1879384493,140067477,553347594,8445071408,425184226,8476409419,8445071777,553583468,451406923"
88805,"446310786,8401422825,553582747,609804618,8445071777,60168013,385336772,8445071408,1900850303,425099148"
88937,"786868716,074322678X,3404921038,8445071408,374157065,847223973X,385336772,1881320189,380778556,609804618"
88998,"316769487,553582747,8445071408,8401422825,786868716,446310786,441783589,1569871213,964778319,60168013"
89014,"399135782,689821166,038572179X,1569871213,439095026,8445071408,1879384493,840734530,8445071777,345372700"
89027,"8445071408,399135782,140067477,609804618,385336772,440225701,316769487,3404921038,671621009,1879384493"
89093,"553584383,840734530,553347594,316769487,966986105,1900850303,345372700,374157065,446310786,8401422825"
89207,"345417623,425099148,689821166,1569871213,399135782,812575482,679865691,385336772,446310786,847223973X"
89361,"8445071408,2740230,446310786,1881320189,316735736,374157065,60976845,2005018,553347594,316769487"
89507,"399135782,425099148,316769487,1900850303,446310786,8445071408,312252617,964778319,140067477,1881320189"
89551,"786868716,609804618,1879384493,8445071408,380778556,679865691,446310786,399135782,966986105,312252617"
89558,"553347594,8401422825,8445071777,609804618,1881320189,140067477,8445071408,812575482,3404921038,345417623"
89602,"446310786,1900850303,312252617,316769487,60976845,399135782,812575482,2740230,679810307,8445071408"
89771,"399135782,8445071408,316769487,042518630X,441783589,786868716,553583468,446310786,1900850303,684823802"
89851,"446310786,8401422825,316769487,345417623,609804618,425163091,2740230,8445071408,679865691,380778556"
89856,"609804618,1900850303,399135782,380778556,8445071408,446310786,385336772,671621009,553347594,679865691"
89867,"074322678X,3404921038,8445071408,316769487,385336772,609804618,786868716,2740230,553347594,553582747"
89869,"553347594,8445071408,609804618,316748641,679865691,316735736,8401422825,812575482,689821166,3404921038"
89874,"399135782,8445071777,2005018,3404921038,316769487,8445071408,385336772,553584383,074322678X,60938412"
89911,"3404921038,449005615,316769487,609804618,8445071408,393045218,440234743,140067477,679865691,553347594"
90046,"964778319,8445071408,689821166,3404921038,425099148,786868716,067176537X,8445071777,074322678X,2005018"
90137,"553347594,671621009,345372700,609804618,074322678X,60168013,399135782,316735736,345417623,3404921038"
90146,"446310786,679865691,1879384493,8445071408,316769487,964778319,8476409419,1881320189,2740230,345417623"
90192,"8401422825,8445071777,385336772,1881320189,8445071408,786868716,1558531025,609804618,840734530,60976845"
90235,"553347594,8445071408,8401422825,1569871213,316769487,8445071777,60929790,1558531025,312252617,446310786"
90286,"399135782,8445071408,451208080,1879384493,451166892,345417623,847223973X,451410319,1558531025,679865691"
90318,"8445071408,345372700,446310786,8445071777,385336772,345417623,440234743,8401422825,316769487,375759778"
90322,"8445071408,1881320189,3404921038,609804618,553347594,60168013,345372700,385336772,452264464,786868716"
90361,"446310786,345417623,8445071408,2005018,553347594,380778556,609804618,964778319,399135782,425099148"
90417,"1879384493,140067477,446310786,399135782,345417623,374157065,60929790,312252617,441783589,553347594"
90423,"60168013,1900850303,380778556,399135782,1879384493,8445071408,60914068,1558531025,964778319,446310786"
90467,"8401422825,3404921038,446310786,074322678X,316735736,679865691,8445071408,1841721522,1569871213,399135782"
90609,"8445071408,609804618,812575482,399135782,345417623,451406923,449005615,553278398,60976845,553347594"
90657,"399135782,8445071408,609804618,380715899,3404921038,1569871213,449005615,671621009,1881320189,8445071777"
90694,"8445071408,316769487,449005615,1569871213,446310786,786868716,399135782,553582747,374157065,684823802"
90727,"8445071408,8401422825,553347594,2740230,2005018,786868716,8476409419,449005615,1558531025,8445071777"
90782,"316769487,786868716,345417623,399135782,60168013,8445071408,425099148,60914068,440234743,1841721522"
90793,"609804618,842342702,345417623,8445071408,374157065,399135782,440225701,3404921038,1879384493,446310786"
90826,"1879384493,8445071408,2740230,8445071777,609804618,1900850303,449005615,446310786,689821166,679429220"
91017,"689821166,446310786,316769487,1558531025,60929790,440225701,609804618,8476409419,553347594,345372700"
91023,"8445071408,553583468,786868716,446310786,812575482,679429220,451166892,3404921038,2740230,345372700"
91026,"3404921038,140067477,374157065,446310786,1879384493,440234743,1881320189,8445071408,671621009,038572179X"
91049,"446310786,8445071408,385336772,8401422825,671621009,1841721522,1881320189,399135782,8476409419,847223973X"
91059,"345372700,671621009,345417623,8445071777,1879384493,1558531025,8445071408,440234743,399135782,60168013"
91074,"679429220,140067477,2740230,8445071777,60168013,60914068,60976845,553347594,446310786,60929790"
91103,"399135782,446310786,2005018,60168013,840734530,316769487,380778556,345372700,140067477,8401422825"
91113,"1841721522,8445071408,847223973X,60929790,60914068,374157065,1558531025,375406328,964778319,316769487"
91116,"553347594,60914068,8401422825,446310786,966986105,1900850303,074322678X,3404921038,689821166,380778556"
91184,"8445071408,316769487,1879384493,679865691,1881320189,964778319,446310786,8445071777,380778556,966986105"
91254,"966986105,374157065,8445071408,786868716,609804618,1881320189,679429220,451406923,8401422825,553347594"
91266,"8476409419,786868716,345417623,399135782,8401422825,1879384493,375509038,345402871,689821166,1900850303"
91283,"425099148,195153448,964778319,8445071408,380778556,345372700,140067477,679429220,2740230,440223571"
91342,"446310786,1841721522,380778556,1879384493,399135782,345417623,553584383,1569871213,1900850303,8445071408"
91424,"449005615,964778319,553347594,374157065,609804618,345402871,446310786,60929790,375500766,038572179X"
91449,"8445071408,1879384493,553347594,446310786,449005615,425099148,609804618,074322678X,679865691,316769487"
91456,"074322678X,1841721522,425099148,375500766,345417623,679429220,2740230,441783589,847223973X,8445071777"
91553,"8445071408,446310786,3404921038,8401422825,399135782,375500766,074322678X,1558531025,8476409419,345417623"
91633,"1558531025,847223973X,786868716,553584383,3404921038,60929790,399135782,8445071408,345372700,446310786"
91634,"380778556,446310786,2005018,671621009,689821166,1569871213,8445071777,786868716,2740230,553584383"
91675,"446310786,449005615,8445071408,8476409419,1841721522,840734530,345417623,1900850303,140067477,375509038"
91692,"8445071408,8401422825,1900850303,380778556,316769487,60973129,966986105,8445071777,8476409419,1881320189"
91736,"399135782,8445071408,1558531025,8476409419,446310786,1900850303,140067477,689821166,074322678X,452264464"
91745,"8445071408,8401422825,966986105,553347594,964778319,1879384493,316769487,345417623,671621009,399135782"
91832,"1558531025,316769487,8445071408,812575482,553347594,1900850303,609804618,8445071777,679810307,345372700"
91839,"786868716,385336772,1881320189,8445071408,312252617,449005615,8476409419,345417623,399135782,679810307"
91931,"609804618,8445071408,399135782,345372700,067176537X,1569871213,60168013,812575482,385336772,553582747"
92048,"446310786,966986105,8445071408,140067477,553347594,1558531025,374157065,812575482,074322678X,8401422825"
92132,"8445071408,399135782,966986105,847223973X,786868716,385336772,140067477,553347594,446310786,1569871213"
92154,"1881320189,847223973X,1558531025,684823802,316769487,345417623,380778556,1879384493,449005615,679429220"
92278,"8445071408,966986105,449005615,679865691,446310786,312252617,316769487,2740230,786868716,074322678X"
92405,"074322678X,8445071408,446310786,2740230,374157065,140067477,553583468,679865691,3404921038,609804618"
92524,"553582747,446310786,8401422825,689821166,345417623,840734530,1881320189,449005615,3404921038,1558531025"
92652,"812575482,60914068,553347594,8401422825,446310786,316769487,451166892,8445071408,60929790,440225701"
92658,"553347594,316748641,8445071408,380778556,847223973X,2740230,812575482,1569871213,440234743,609804618"
92693,"8401422825,316769487,966986105,671621009,8476409419,385336772,609804618,847223973X,786868716,60929790"
92722,"8445071408,446310786,074322678X,345417623,840734530,449005615,425099148,399135782,1879384493,316769487"
92727,"3404921038,140067477,446310786,8445071777,8401422825,074322678X,964778319,380778556,553347594,671864769"
92810,"446310786,8445071408,553347594,1841721522,380778556,316769487,609804618,451166892,345372700,2005018"
92826,"399135782,1558531025,8445071408,446310786,964778319,3404921038,671867156,689821166,345372700,671621009"
92853,"446310786,60929790,8445071777,074322678X,8476409419,8401422825,140067477,1558531025,553582747,671621009"
92861,"553347594,8445071408,074322678X,1558531025,1900850303,374157065,399135782,1879384493,2005018,8445071777"
92946,"966986105,140067477,374157065,553583468,679865691,60914068,316769487,786868716,609804618,60973129"
92979,"8445071408,1900850303,452264464,316769487,847223973X,316735736,1569871213,553347594,8476409419,684823802"
93047,"446310786,8445071408,451406923,374157065,316769487,316748641,1558531025,553347594,553582747,440234743"
93055,"8476409419,067176537X,8445071408,671867156,345417623,60938412,1558531025,140067477,374157065,609804618"
93085,"8445071408,8476409419,786868716,074322678X,812575482,553582747,446310786,316769487,60973129,425163091"
93179,"399135782,2740230,345417623,786868716,440234743,60929790,8445071777,60976845,553347594,8401422825"
93198,"316735736,399135782,140067477,60929790,671867156,316769487,345417623,074322678X,1879384493,1558531025"
93241,"345417623,345372700,8445071408,553347594,1558531025,847223973X,964778319,446310786,689821166,553582747"
93257,"140067477,609804618,399135782,8445071408,847223973X,1879384493,074322678X,8476409419,60929790,689821166"
93274,"446310786,074322678X,385336772,451406923,840734530,2740230,847223973X,452264464,786868716,8445071408"
93312,"441783589,671621009,2740230,8445071777,1879384493,074322678X,3404921038,451166892,345372700,345465083"
93363,"140067477,609804618,553347594,1881320189,375509038,8445071408,074322678X,399135782,316769487,374157065"
93367,"316735736,2740230,446310786,8445071408,553347594,8445071777,8476409419,345417623,399135782,786868716"
93370,"8445071408,609804618,553347594,446310786,345372700,60973129,3404921038,399135782,684823802,8401422825"
93379,"140067477,8445071408,553584383,786868716,385336772,60168013,679429220,399135782,2740230,439095026"
93421,"1900850303,8445071408,847223973X,345417623,812575482,452264464,375500766,786868716,1881320189,671621009"
93426,"8476409419,3404921038,8445071408,553347594,385336772,1569871213,439095026,345402871,8445071777,449005615"
93502,"8445071408,446310786,140067477,380778556,312252617,60168013,451166892,449005615,8445071777,553347594"
93514,"8445071408,553347594,3404921038,1569871213,446310786,399135782,1841721522,074322678X,812575482,451208080"
93518,"399135782,8445071408,609804618,8401422825,1900850303,2740230,440225701,553347594,446310786,380778556"
93562,"446310786,380778556,8445071408,399135782,140067477,2740230,345372700,8476409419,812575482,1881320189"
93565,"553347594,60929790,8445071408,609804618,446310786,316769487,1569871213,8445071777,345372700,380778556"
93578,"449005615,689821166,374157065,451208080,553582747,1558531025,038572179X,345465083,451166892,60929790"
93629,"8445071408,399135782,449005615,1558531025,553347594,1881320189,446310786,840734530,385336772,1879384493"
93631,"8445071408,449005615,452264464,1569871213,399135782,60973129,1900850303,966986105,8401422825,684823802"
93643,"3404921038,1900850303,8401422825,671621009,374157065,380778556,074322678X,446310786,8445071408,385336772"
93698,"8445071408,446310786,316769487,385336772,345372700,1879384493,8401422825,452264464,786868716,316735736"
93717,"1569871213,812575482,1900850303,446310786,2740230,8445071408,380778556,609804618,316769487,1881320189"
93732,"840734530,446310786,345402871,2740230,074322678X,8476409419,847223973X,345417623,8401422825,553347594"
93770,"8445071408,316769487,8401422825,345372700,1879384493,316735736,679865691,375509038,446310786,786868716"
93772,"446310786,3404921038,380778556,074322678X,60973129,684823802,609804618,452264464,689821166,316735736"
93795,"3404921038,8445071408,425099148,679429220,1558531025,60938412,671621009,553347594,316769487,399135782"
93800,"786868716,8476409419,8445071408,3404921038,316769487,399135782,316735736,2005018,074322678X,966986105"
93871,"399135782,847223973X,425099148,786868716,8445071777,8445071408,553347594,8476409419,60914068,1879384493"
93909,"553582747,446310786,8445071408,440234743,786868716,316769487,609804618,380778556,316735736,345372700"
93990,"1558531025,8445071408,1881320189,038572179X,609804618,316735736,553584383,786868716,1879384493,8445071777"
94023,"8445071408,1900850303,60976845,074322678X,609804618,345372700,446310786,451208080,441783589,1569871213"
94074,"609804618,3404921038,316769487,553582747,345372700,446310786,399135782,812575482,374157065,60929790"
94099,"345372700,074322678X,140067477,8445071408,380778556,441783589,8401422825,451410319,553347594,446310786"
94101,"446310786,8445071777,553347594,679865691,812575482,1879384493,316769487,8445071408,671867156,345417623"
94128,"553347594,8401422825,452264464,067976397X,446310786,840734530,671621009,553584383,2740230,786868716"
94129,"8445071408,609804618,446310786,847223973X,399135782,345417623,8476409419,425099148,345465083,553582747"
94139,"399135782,374157065,446310786,451410319,609804618,812575482,8445071408,671621009,316769487,1900850303"
94209,"8445071408,316769487,446310786,449005615,1879384493,399135782,812575482,786868716,345372700,451406923"
94214,"966986105,553584383,8445071408,2070423204,140067477,2005018,446310786,1900850303,786868716,2740230"
94237,"8445071408,074322678X,60929790,966986105,8401422825,786868716,609804618,316769487,8476409419,374157065"
94263,"2005018,609804618,1558531025,8445071408,964778319,1879384493,1569871213,60914068,1900850303,446310786"
94264,"1879384493,966986105,399135782,446310786,345372700,553347594,140067477,385336772,964778319,847223973X"
94303,"8445071408,345372700,375759778,374157065,067976397X,440225701,553347594,3404921038,042518630X,446310786"
94347,"316769487,446310786,399135782,393045218,8445071408,425163091,440234743,609804618,451166892,441783589"
94385,"1879384493,812575482,553347594,316735736,038078243X,2005018,609804618,60938412,441783589,1881320189"
94396,"8445071408,385336772,374157065,1558531025,074322678X,553347594,446310786,375509038,140067477,609804618"
94494,"1900850303,425099148,8445071408,449005615,452264464,451410319,2740230,786868716,1853260053,345417623"
94542,"8445071408,2740230,345372700,553582747,8445071777,786868716,1881320189,553347594,8401422825,385336772"
94639,"8445071408,1569871213,1879384493,345417623,345372700,679429220,8445071777,449005615,1881320189,140067477"
94677,"451410319,1569871213,8476409419,380778556,399135782,385336772,60168013,1900850303,1879384493,067176537X"
94782,"553347594,8445071408,385336772,1881320189,8445071777,1879384493,380778556,316769487,2740230,671621009"
94784,"446310786,8445071408,380778556,345417623,399135782,553347594,2740230,60914068,1881320189,345372700"
94853,"449005615,8445071408,553347594,316748641,786868716,966986105,452264464,439095026,316769487,345372700"
94865,"609804618,140067477,8445071408,2740230,8401422825,679865691,553347594,3404921038,399135782,425163091"
94883,"8445071408,966986105,399135782,345417623,689821166,380778556,316735736,609804618,553584383,1879384493"
94923,"399135782,2740230,1558531025,679865691,3404921038,446310786,1900850303,380778556,385336772,812575482"
94931,"446310786,609804618,840734530,8445071408,689821166,679429220,8401422825,1558531025,2070423204,316769487"
94944,"399135782,140067477,446310786,966986105,1558531025,374157065,8445071408,964778319,60976845,553347594"
94951,"679429220,1558531025,553582747,345417623,345372700,446310786,316769487,399135782,1879384493,3404921038"
94965,"449005615,786868716,679865691,812575482,380778556,440225701,1900850303,8476409419,553347594,446310786"
94985,"399135782,446310786,684823802,345417623,385336772,440234743,671867156,140067477,964778319,8401422825"
95010,"8401422825,425099148,8445071408,840734530,312252617,380778556,553583468,966986105,451166892,140067477"
95025,"8445071408,553347594,679865691,60938412,1569871213,446310786,449005615,1841721522,3404921038,316769487"
95173,"316735736,385336772,380778556,374157065,553347594,684823802,8445071408,399135782,1841721522,345372700"
95250,"8445071777,8445071408,553582747,451166892,385336772,074322678X,449005615,3404921038,2740230,374157065"
95261,"399135782,8445071408,446310786,964778319,689821166,1558531025,553347594,140067477,60914068,8445071777"
95264,"8445071408,847223973X,374157065,966986105,375509038,1558531025,038572179X,8445071777,8476409419,425099148"
95301,"679865691,8476409419,446310786,786868716,399135782,380778556,451410319,425099148,1879384493,964778319"
95316,"399135782,374157065,553347594,8476409419,8445071408,140067477,446310786,074322678X,966986105,786868716"
95359,"8445071408,446310786,1879384493,840734530,385336772,679865691,140067477,671621009,553347594,345372700"
95392,"671621009,3404921038,553347594,786868716,671867156,8445071408,441783589,316769487,1879384493,1881320189"
95393,"8401422825,847223973X,451166892,446310786,374157065,8445071408,451208080,964778319,3404921038,671621009"
95417,"074322678X,140067477,316769487,399135782,8445071408,1879384493,446310786,609804618,452264464,966986105"
95443,"8476409419,446310786,786868716,8445071408,553347594,847223973X,316735736,2740230,380778556,964778319"
95509,"074322678X,8445071408,553347594,1879384493,609804618,345372700,786868716,375509038,446310786,689821166"
95574,"316769487,140067477,074322678X,375406328,399135782,8445071408,345372700,2005018,2070423204,2740230"
95703,"8445071408,316769487,399135782,553583468,553347594,1558531025,689821166,786868716,140067477,812575482"
95786,"60914068,966986105,679865691,380778556,8445071408,786868716,345402871,60168013,446310786,964778319"
95800,"399135782,345372700,446310786,8401422825,425099148,2005018,2740230,609804618,679865691,8476409419"
95903,"8476409419,553584383,446310786,786868716,1881320189,140067477,399135782,451406923,385336772,380778556"
95921,"8476409419,8445071408,60929790,374157065,966986105,553347594,140067477,345372700,840734530,440234743"
95923,"679865691,449005615,8401422825,8445071408,074322678X,345372700,380778556,316769487,399135782,1569871213"
95932,"8445071777,140067477,8445071408,679810307,316769487,8401422825,446310786,385336772,074322678X,553584383"
95991,"1879384493,446310786,449005615,60929790,1900850303,964778319,8445071408,609804618,452264464,375509038"
96053,"679865691,8401422825,8445071408,399135782,553347594,1879384493,847223973X,345372700,2005018,316769487"
96054,"446310786,345372700,1900850303,2740230,966986105,60168013,452264464,842342702,671621009,380778556"
96107,"8401422825,074322678X,8445071408,684823802,679810307,425099148,1881320189,399135782,446310786,8445071777"
96354,"446310786,553347594,2005018,8476409419,451166892,786868716,1879384493,3404921038,966986105,1881320189"
96357,"140067477,451166892,345372700,446608653,8445071408,439095026,8445071777,553347594,2005018,553583468"
96402,"446310786,1558531025,451166892,385336772,553347594,1879384493,8445071408,345417623,399135782,60976845"
96440,"553347594,8445071408,609804618,2070423204,1569871213,451406923,840734530,399135782,60929790,786868716"
96448,"446310786,380778556,8476409419,8445071777,399135782,553584383,451406923,316769487,1879384493,3404921038"
96475,"786868716,8476409419,679865691,399135782,446310786,451410319,316973742,847223973X,8401422825,553347594"
96493,"8445071408,1881320189,312252617,425099148,842342702,8476409419,60976845,140067477,1879384493,074322678X"
96514,"1900850303,8445071408,609804618,446310786,966986105,8476409419,786868716,399135782,553347594,449005615"
96521,"840734530,966986105,446310786,8476409419,1841721522,1558531025,380778556,385336772,452264464,553584383"
96634,"1900850303,8445071408,380778556,689821166,140067477,399135782,553347594,446310786,609804618,374157065"
96659,"8445071408,446310786,609804618,553584383,847223973X,1900850303,679865691,451208080,553347594,964778319"
96679,"8445071408,1900850303,847223973X,1879384493,60929790,553347594,446310786,679865691,1558531025,380778556"
96771,"8445071408,446310786,1900850303,60976845,1881320189,140067477,074322678X,812575482,8445071777,3404921038"
96776,"8445071408,689821166,446310786,8401422825,074322678X,399135782,374157065,786868716,1881320189,1900850303"
96797,"553582747,842342702,374157065,380778556,446310786,449005615,345372700,038572179X,1558531025,679429220"
96878,"316769487,140067477,8401422825,375509038,553347594,8445071408,446310786,449005615,374157065,3404921038"
96941,"8401422825,60168013,8445071408,847223973X,553583468,140067477,786868716,679865691,1558531025,2070423204"
96954,"8445071408,399135782,2740230,375509038,1558531025,8401422825,8476409419,964778319,60938412,345372700"
96970,"316769487,609804618,380778556,1558531025,375509038,786868716,8401422825,8445071408,446310786,1881320189"
97050,"8445071408,446310786,399135782,609804618,140067477,60929790,345372700,425099148,8401422825,679865691"
97160,"140067477,553347594,786868716,446310786,385336772,399135782,375500766,8445071408,067176537X,375509038"
